chr,start,end,depth,strand,annotation,sample
chrI,1506,1507,25,*,*,adh1
chrI,1523,1524,1,*,*,adh1
chrI,3108,3109,1,*,*,adh1
chrI,3510,3511,18,*,*,adh1
chrI,3907,3908,71,*,*,adh1
chrI,4094,4095,12,*,*,adh1
chrI,6128,6129,9,*,*,adh1
chrI,6179,6180,5,*,*,adh1
chrI,6406,6407,34,*,*,adh1
chrI,6465,6466,28,*,*,adh1
chrI,6492,6493,160,*,*,adh1
chrI,6504,6505,11,*,*,adh1
chrI,6527,6528,65,*,*,adh1
chrI,6665,6666,14,*,*,adh1
chrI,7198,7199,6,*,*,adh1
chrI,8963,8964,2,*,*,adh1
chrI,9282,9283,910,*,*,adh1
chrI,9319,9320,33,*,*,adh1
chrI,9331,9332,1,*,*,adh1
chrI,9839,9840,25,*,*,adh1
chrI,11395,11396,1,*,*,adh1
chrI,12270,12271,28,*,*,adh1
chrI,14466,14467,1,*,*,adh1
chrI,14899,14900,525,*,*,adh1
chrI,15096,15097,2,*,*,adh1
chrI,15258,15259,323,*,*,adh1
chrI,17890,17891,104,*,*,adh1
chrI,17976,17977,52,*,*,adh1
chrI,18429,18430,1,*,*,adh1
chrI,19006,19007,6,*,*,adh1
chrI,22414,22415,3,*,*,adh1
chrI,22542,22543,65,*,*,adh1
chrI,23142,23143,11,*,*,adh1
chrI,23696,23697,12,*,*,adh1
chrI,23772,23773,78,*,*,adh1
chrI,23837,23838,929,*,*,adh1
chrI,27794,27795,38,*,*,adh1
chrI,28707,28708,3,*,*,adh1
chrI,29397,29398,13,*,*,adh1
chrI,29410,29411,50,*,*,adh1
chrI,29573,29574,22,*,*,adh1
chrI,29769,29770,4,*,*,adh1
chrI,30009,30010,32,*,*,adh1
chrI,30398,30399,33,*,*,adh1
chrI,30742,30743,10,*,*,adh1
chrI,30973,30974,128,*,*,adh1
chrI,30996,30997,7,*,*,adh1
chrI,30997,30998,40,*,*,adh1
chrI,31028,31029,194,*,*,adh1
chrI,31079,31080,11,*,*,adh1
chrI,31135,31136,1,*,*,adh1
chrI,31554,31555,91,*,*,adh1
chrI,31661,31662,17,*,*,adh1
chrI,31754,31755,93,*,*,adh1
chrI,31877,31878,81,*,*,adh1
chrI,32002,32003,126,*,*,adh1
chrI,32225,32226,458,*,*,adh1
chrI,32317,32318,2,*,*,adh1
chrI,33004,33005,98,*,*,adh1
chrI,33016,33017,120,*,*,adh1
chrI,33134,33135,19,*,*,adh1
chrI,33150,33151,100,*,*,adh1
chrI,33216,33217,5,*,*,adh1
chrI,33324,33325,1429,*,*,adh1
chrI,33350,33351,123,*,*,adh1
chrI,33376,33377,37,*,*,adh1
chrI,33397,33398,4,*,*,adh1
chrI,33415,33416,24,*,*,adh1
chrI,33481,33482,1002,*,*,adh1
chrI,33483,33484,3,*,*,adh1
chrI,34380,34381,20,*,*,adh1
chrI,34409,34410,6,*,*,adh1
chrI,34411,34412,233,*,*,adh1
chrI,34569,34570,35,*,*,adh1
chrI,34773,34774,20,*,*,adh1
chrI,34793,34794,204,*,*,adh1
chrI,34821,34822,74,*,*,adh1
chrI,34856,34857,199,*,*,adh1
chrI,35058,35059,517,*,*,adh1
chrI,35099,35100,16,*,*,adh1
chrI,35117,35118,1,*,*,adh1
chrI,35118,35119,566,*,*,adh1
chrI,36269,36270,21,*,*,adh1
chrI,36366,36367,1,*,*,adh1
chrI,36388,36389,16,*,*,adh1
chrI,38117,38118,13,*,*,adh1
chrI,38699,38700,20,*,*,adh1
chrI,38725,38726,1,*,*,adh1
chrI,39088,39089,3,*,*,adh1
chrI,39641,39642,3,*,*,adh1
chrI,39809,39810,33,*,*,adh1
chrI,40208,40209,43,*,*,adh1
chrI,40794,40795,3,*,*,adh1
chrI,41168,41169,53,*,*,adh1
chrI,41352,41353,74,*,*,adh1
chrI,41547,41548,307,*,*,adh1
chrI,41801,41802,13,*,*,adh1
chrI,41971,41972,110,*,*,adh1
chrI,41999,42000,7,*,*,adh1
chrI,42130,42131,4,*,*,adh1
chrI,42528,42529,19,*,*,adh1
chrI,42983,42984,6,*,*,adh1
chrI,44000,44001,2,*,*,adh1
chrI,44022,44023,18,*,*,adh1
chrI,44136,44137,58,*,*,adh1
chrI,44169,44170,673,*,*,adh1
chrI,44248,44249,2,*,*,adh1
chrI,44452,44453,1,*,*,adh1
chrI,44569,44570,1,*,*,adh1
chrI,44614,44615,9,*,*,adh1
chrI,45195,45196,14,*,*,adh1
chrI,45228,45229,1,*,*,adh1
chrI,45373,45374,21,*,*,adh1
chrI,45384,45385,14,*,*,adh1
