chr,start,end,name,score,strand,common_name,sample
chrI,0,335,YAL069W,100,+,YAL069W,yiming
chrI,0,538,YAL068W-A,100,+,YAL068W-A,yiming
chrI,2169,2480,YAL068C,100,-,PAU8,yiming
chrI,2169,2480,YAL067W-A,100,+,YAL067W-A,yiming
chrI,9017,9717,YAL067C,100,-,SEO1,yiming
chrI,9392,10092,YAL066W,100,+,YAL066W,yiming
chrI,11952,12047,YAL065C,100,-,YAL065C,yiming
chrI,11952,12047,YAL064W-B,100,+,YAL064W-B,yiming
chrI,13744,14444,YAL064C-A,100,-,TDA8,yiming
chrI,20826,21526,YAL064W,100,+,YAL064W,yiming
chrI,22687,23387,YAL063C-A,100,-,YAL063C-A,yiming
chrI,27969,28669,YAL063C,100,-,FLO9,yiming
chrI,30868,31568,YAL062W,100,+,GDH3,yiming
chrI,32941,33449,YAL061W,100,+,BDH2,yiming
chrI,34702,35156,YAL060W,100,+,BDH1,yiming
chrI,36304,36510,YAL059W,100,+,ECM1,yiming
chrI,36919,37465,YAL059C-A,100,-,YAL059C-A,yiming
chrI,37148,37465,YAL058W,100,+,CNE1,yiming
chrI,39047,39260,YAL056C-A,100,-,YAL056C-A,yiming
chrI,39047,39260,YAL056W,100,+,GPB2,yiming
chrI,41902,42178,YAL055W,100,+,PEX22,yiming
chrI,45023,45723,YAL054C,100,-,ACS1,yiming
chrI,45200,45900,YAL053W,100,+,FLC2,yiming
chrI,48251,48565,YAL051W,100,+,OAF1,yiming
chrI,52596,52802,YAL049C,100,-,AIM2,yiming
chrI,53885,54585,YAL047W-A,100,+,YAL047W-A,yiming
chrI,54790,54990,YAL048C,100,-,GEM1,yiming
chrI,56858,57030,YAL047C,100,-,SPC72,yiming
chrI,57386,57489,unknown_29,100,-,BOL3,yiming
chrI,57386,57519,unknown_30,100,+,BOL1,yiming
chrI,57797,57951,YAL045C,100,-,YAL045C,yiming
chrI,58463,58696,YAL044C,100,-,GCV3,yiming
chrI,61053,61232,YAL043C,100,-,PTA1,yiming
chrI,61053,61317,YAL042W,100,+,ERV46,yiming
chrI,61609,62309,YAL042C-A,100,-,YAL042C-A,yiming
chrI,62564,62841,YAL041W,100,+,CDC24,yiming
chrI,67521,68221,YAL040C,100,-,CLN3,yiming
chrI,69526,70226,YAL039C,100,-,CYC3,yiming
chrI,71087,71787,YAL038W,100,+,CDC19,yiming
chrI,73301,73427,YAL037C-B,100,-,YAL037C-B,yiming
chrI,73519,74021,YAL037C-A,100,-,YAL037C-A,yiming
chrI,73519,74021,YAL037W,100,+,YAL037W,yiming
chrI,76153,76428,YAL036C,100,-,RBG1,yiming
chrI,76153,76428,YAL035W,100,+,FUN12,yiming
chrI,79436,79719,YAL034W-A,100,+,MTW1,yiming
chrI,79843,80543,YAL034C-B,100,-,YAL034C-B,yiming
chrI,81952,82652,YAL034C,100,-,FUN19,yiming
chrI,82007,82707,YAL033W,100,+,POP5,yiming
chrI,84475,84670,YAL032C,100,-,PRP45,yiming
chrI,84475,84670,YAL031W-A,100,+,YAL031W-A,yiming
chrI,87032,87287,YAL031C,100,-,GIP4,yiming
chrI,87032,87287,YAL030W,100,+,SNC1,yiming
chrI,92271,92901,YAL029C,100,-,MYO4,yiming
chrI,92271,92901,YAL028W,100,+,FRT2,yiming
chrI,94487,94688,YAL027W,100,+,SAW1,yiming
chrI,95824,96524,YAL026C-A,100,-,YAL026C-A,yiming
chrI,99698,100226,YAL026C,100,-,DRS2,yiming
chrI,101146,101566,YAL025C,100,-,MAK16,yiming
chrI,105873,106273,YAL024C,100,-,LTE1,yiming
chrI,108552,108878,YAL023C,100,-,PMT2,yiming
chrI,110431,110847,YAL022C,100,-,FUN26,yiming
chrI,113360,113615,YAL021C,100,-,CCR4,yiming
chrI,113551,114251,YAL019W-A,100,+,YAL019W-A,yiming
chrI,114616,114920,YAL020C,100,-,ATS1,yiming
chrI,114820,114920,YAL019W,100,+,FUN30,yiming
chrI,119542,120226,YAL018C,100,-,LDS1,yiming
chrI,119542,120226,YAL017W,100,+,PSK1,yiming
chrI,124493,124756,YAL016C-B,100,-,YAL016C-B,yiming
chrI,124493,124880,YAL016W,100,+,TPD3,yiming
chrI,125070,125770,YAL016C-A,100,-,YAL016C-A,yiming
chrI,128103,128253,YAL015C,100,-,NTG1,yiming
chrI,129020,129271,YAL014C,100,-,SYN8,yiming
chrI,129020,129271,YAL013W,100,+,DEP1,yiming
chrI,130533,130802,YAL012W,100,+,CYS3,yiming
chrI,131986,132202,YAL011W,100,+,SWC3,yiming
chrI,135667,135856,YAL010C,100,-,MDM10,yiming
chrI,135667,135856,YAL009W,100,+,SPO7,yiming
chrI,136635,136916,YAL008W,100,+,FUN14,yiming
chrI,138347,139047,YAL007C,100,-,ERP2,yiming
chrI,140062,140762,YAL004W,100,+,YAL004W,yiming
chrI,141433,142133,YAL005C,100,-,SSA1,yiming
chrI,141476,142176,YAL003W,100,+,EFB1,yiming
chrI,143162,143709,YAL002W,100,+,VPS8,yiming
chrI,151168,151868,YAL001C,100,-,TFC3,yiming
chrI,151559,152259,YAR002W,100,+,NUP60,yiming
chrI,154726,155007,YAR002C-A,100,-,ERP1,yiming
chrI,154726,155007,YAR003W,100,+,SWD1,yiming
chrI,158621,158967,YAR007C,100,-,RFA1,yiming
chrI,158621,158967,YAR008W,100,+,SEN34,yiming
chrI,164188,164545,YAR009C,100,-,YAR009C,yiming
chrI,165867,166567,YAR010C,100,-,YAR010C,yiming
chrI,168866,169370,YAR014C,100,-,BUD14,yiming
chrI,168866,169370,YAR015W,100,+,ADE1,yiming
chrI,171698,172209,YAR018C,100,-,KIN3,yiming
