chr,start,end,name,score,strand,sample
chrI,21850,24000,*,100,*,not_orf
chrI,27968,31567,*,100,*,not_orf
chrI,32940,35155,*,100,*,not_orf
chrI,36303,36509,*,100,*,not_orf
chrI,37147,37464,*,100,*,not_orf
chrI,38972,39259,*,100,*,not_orf
chrI,41901,42177,*,100,*,not_orf
chrI,42719,42881,*,100,*,not_orf
chrI,45022,45899,*,100,*,not_orf
chrI,48250,48564,*,100,*,not_orf
chrI,51707,51855,*,100,*,not_orf
chrI,52595,52801,*,100,*,not_orf
chrI,54789,54989,*,100,*,not_orf
chrI,56857,57029,*,100,*,not_orf
chrI,57385,57950,*,100,*,not_orf
chrI,58462,58695,*,100,*,not_orf
chrI,61052,61316,*,100,*,not_orf
chrI,62563,62840,*,100,*,not_orf
chrI,65404,65778,*,100,*,not_orf
chrI,67520,68716,*,100,*,not_orf
chrI,69525,71786,*,100,*,not_orf
chrI,73288,75043,*,100,*,not_orf
chrI,76152,76427,*,100,*,not_orf
chrI,79435,79718,*,100,*,not_orf
chrI,80587,80710,*,100,*,not_orf
chrI,81951,82706,*,100,*,not_orf
chrI,83227,83335,*,100,*,not_orf
chrI,84474,84749,*,100,*,not_orf
chrI,87031,87286,*,100,*,not_orf
chrI,87752,87855,*,100,*,not_orf
chrI,92270,92900,*,100,*,not_orf
chrI,94486,94687,*,100,*,not_orf
chrI,95472,95630,*,100,*,not_orf
chrI,99697,100225,*,100,*,not_orf
chrI,101145,101565,*,100,*,not_orf
chrI,105872,106272,*,100,*,not_orf
chrI,108551,108877,*,100,*,not_orf
chrI,110430,110846,*,100,*,not_orf
chrI,113359,113614,*,100,*,not_orf
chrI,114615,114919,*,100,*,not_orf
chrI,118314,120225,*,100,*,not_orf
chrI,124295,124879,*,100,*,not_orf
chrI,126786,126903,*,100,*,not_orf
chrI,128102,128252,*,100,*,not_orf
chrI,129019,129270,*,100,*,not_orf
chrI,130487,130799,*,100,*,not_orf
chrI,131983,132199,*,100,*,not_orf
chrI,134076,134184,*,100,*,not_orf
chrI,135665,135854,*,100,*,not_orf
chrI,136633,136914,*,100,*,not_orf
chrI,137510,137698,*,100,*,not_orf
chrI,138345,139503,*,100,*,not_orf
chrI,141431,142174,*,100,*,not_orf
chrI,143160,143707,*,100,*,not_orf
chrI,147531,147594,*,100,*,not_orf
chrI,151166,152257,*,100,*,not_orf
chrI,153876,154065,*,100,*,not_orf
chrI,154724,155005,*,100,*,not_orf
chrI,156285,156754,*,100,*,not_orf
chrI,158619,158966,*,100,*,not_orf
chrI,168871,169375,*,100,*,not_orf
chrI,170295,170396,*,100,*,not_orf
chrI,171703,172211,*,100,*,not_orf
chrI,175135,176856,*,100,*,not_orf
chrI,184477,186836,*,100,*,not_orf
chrI,187732,188107,*,100,*,not_orf
chrI,188811,190193,*,100,*,not_orf
chrI,192256,192619,*,100,*,not_orf
