chr,start,end,depth,strand,annotation,sample
chrI,1412,1413,91,*,*,dsir4
chrI,1417,1418,27,*,*,dsir4
chrI,1486,1487,1,*,*,dsir4
chrI,1517,1518,10,*,*,dsir4
chrI,1693,1694,10,*,*,dsir4
chrI,1693,1694,1,*,*,dsir4
chrI,1969,1970,22,*,*,dsir4
chrI,2091,2092,1,*,*,dsir4
chrI,2118,2119,5,*,*,dsir4
chrI,2324,2325,2,*,*,dsir4
chrI,2442,2443,2,*,*,dsir4
chrI,2991,2992,1,*,*,dsir4
chrI,3307,3308,3,*,*,dsir4
chrI,4007,4008,37,*,*,dsir4
chrI,4220,4221,3,*,*,dsir4
chrI,4294,4295,2,*,*,dsir4
chrI,4296,4297,1,*,*,dsir4
chrI,4303,4304,2,*,*,dsir4
chrI,4321,4322,7,*,*,dsir4
chrI,4413,4414,1,*,*,dsir4
chrI,4556,4557,1,*,*,dsir4
chrI,4604,4605,20,*,*,dsir4
chrI,4980,4981,3,*,*,dsir4
chrI,4995,4996,9,*,*,dsir4
chrI,5026,5027,1,*,*,dsir4
chrI,5356,5357,4,*,*,dsir4
chrI,5564,5565,26,*,*,dsir4
chrI,5634,5635,19,*,*,dsir4
chrI,5669,5670,6,*,*,dsir4
chrI,5765,5766,4,*,*,dsir4
chrI,5861,5862,1,*,*,dsir4
chrI,5903,5904,1,*,*,dsir4
chrI,5957,5958,1,*,*,dsir4
chrI,5966,5967,1,*,*,dsir4
chrI,6006,6007,1,*,*,dsir4
chrI,6031,6032,1,*,*,dsir4
chrI,6072,6073,1,*,*,dsir4
chrI,6187,6188,5,*,*,dsir4
chrI,6276,6277,21,*,*,dsir4
chrI,6279,6280,156,*,*,dsir4
chrI,6289,6290,114,*,*,dsir4
chrI,6344,6345,1,*,*,dsir4
chrI,6346,6347,99,*,*,dsir4
chrI,6346,6347,33,*,*,dsir4
chrI,6371,6372,9,*,*,dsir4
chrI,6376,6377,26,*,*,dsir4
chrI,6377,6378,4,*,*,dsir4
chrI,6391,6392,7,*,*,dsir4
chrI,6403,6404,43,*,*,dsir4
chrI,6460,6461,4,*,*,dsir4
chrI,6479,6480,1,*,*,dsir4
